# Seismic determinations of Moho depth from Assumpcao et al. (2013) as provided
# by Leonardo Uieda.
# This file was modified by Peter Haas (Kiel University):
# + Some receiver function points in Brazil were added (Luz and do Nascimento 2015)
# + Some Andean points based on gravity were removed 
# 
# References
# ----------
# 1. Assumpção, Marcelo; Feng, Mei; Tassara, Andrés; Julià, Jordi (2013): 
# Models of crustal thickness for South America from seismic refraction, 
# receiver functions and surface wave tomography. In: Tectonophysics 609, 
# p. 82–96. DOI: 10.1016/j.tecto.2012.11.014.
# 2. Uieda: https://github.com/pinga-lab/paper-moho-inversion-tesseroids/tree/master/data
# 3. Luz, R.M.N.; Julià, J.; do Nascimento, A. F. (2015): Bulk crustal properties of the 
# Borborema Province, NE Brazil, from P-wave receiver functions. Implications for models of 
# intraplate Cenozoic uplift. In: Tectonophysics 644-645, S. 81–91. 
# DOI: 10.1016/j.tecto.2014.12.017.
# 
# Description
# -----------
# Columns: Longitude, latitude, Moho depth [m]: negative down

-42,-26,-21600
-41,-26,-19803
-40,-26,-19793
-39,-26,-18072
-47,-27,-35142
-46,-27,-34393
-45,-27,-17538
-44,-27,-23648
-43,-27,-22401
-42,-27,-22605
-41,-27,-24189
-40,-27,-16787
-39,-27,-21194
-47,-28,-30604
-46,-28,-20472
-45,-28,-15106
-44,-28,-16448
-43,-28,-23907
-42,-28,-20059
-41,-28,-12934
-40,-28,-13416
-39,-28,-12139
-47,-28.8,-30785
-46,-28.8,-22692
-45,-28.8,-19591
-44,-28.8,-17799
-43,-28.9,-15943
-42,-28.9,-17984
-41,-28.9,-22830
-40,-28.9,-19809
-38.073,-5.901,-31836
-37.84,-6.115,-31744
-37.508,-6.42,-31825
-37.501,-6.426,-30529
-37.272,-6.637,-30401
-37.042,-6.847,-30126
-37.009,-6.878,-31414
-36.776,-7.091,-31421
-36.742,-7.121,-32424
-36.475,-7.365,-32539
-36.209,-7.608,-32561
-36.175,-7.639,-31009
-35.841,-7.943,-31219
-35.606,-8.155,-34038
-35.355,-8.383,-34317
-35.104,-8.61,-34493
-40.82,-3.35,-31176
-40.49,-3.66,-32118
-40.16,-3.96,-34610
-39.82,-4.27,-30175
-39.49,-4.57,-29395
-39.15,-4.88,-28581
-38.65,-5.34,-29864
-38.15,-5.8,-32849
-36.83,-5.64,-29938
-37.09,-6.36,-32738
-37.23,-6.79,-32626
-37.49,-7.52,-33809
-37.74,-8.24,-39402
-37.98,-8.93,-34559
-38.12,-9.36,-36797
-38.48,-10.38,-32095
-38.78,-11.24,-32323
-39.07,-12.1,-44667
-45.4,-25.7,-19660
-69.9,-6.15,-44900
-69.9,-6.5,-44830
-37.75,-5.55,-27890
-75,4,-30400
-80.12,2.01,-13400
-79.95,1.85,-14000
-79.72,1.65,-16500
-79.49,1.45,-21700
-43,-19.1,-39500
-36.99,-11.08,-24050
-36.75,-11.28,-17100
-36.5,-11.49,-16200
-36.25,-11.69,-17800
-61.461,5.8433,-35120
-61.639,6.7126,-36177
-66.843,6.5861,-37504
-66.322,7.3262,-38624
-61.826,7.3429,-34824
-65.188,7.4169,-40548
-64.073,7.6508,-38357
-63.085,7.7598,-37307
-62.066,7.8605,-34942
-61.815,8.069,-35168
-67.656,5.4205,-31310
-62.655,8.0344,-43331
-63.057,9.3596,-46364
-62.943,10.145,-48336
-62.744,8.9876,-47357
-63.797,9.7438,-49504
-63.625,8.5019,-39858
-64.294,9.5825,-48880
-64.796,8.9653,-52579
-66.254,8.1365,-50321
-65.944,8.3276,-47869
-66.436,8.9485,-38238
-66.297,9.2617,-46032
-66.322,8.5127,-39280
-67.386,8.8571,-42598
-68.041,8.9433,-42194
-69.483,7.0011,-47699
-64.59,10.163,-31005
-65.806,10.064,-42266
-66.269,10.476,-39800
-62.208,10.638,-28150
-63.184,10.617,-23892
-63.651,10.478,-26054
-63.53,10.194,-28503
-63.827,10.651,-28189
-63.826,10.158,-29197
-66.385,9.9092,-22568
-67.397,9.8872,-29302
-67.838,10.447,-25000
-69.287,9.9586,-27765
-68.834,11.087,-26031
-69.961,10.013,-35950
-69.808,10.649,-37200
-70.523,10.206,-37852
-70.636,10.922,-30953
-69.537,9.501,-38017
-70.626,8.8863,-51320
-70.857,8.2842,-39675
-71.364,8.8401,-50670
-72.314,7.8649,-44622
-72.406,10.503,-50852
-63.132,11.355,-23206
-63.993,10.786,-27285
-64.598,11.822,-23990
-69.971,11.955,-26161
-70.902,12.358,-16134
-65.418,11.85,-23197
-63.77,11.752,-19617
-66.491,13.95,-21797
-65.22,10.68,-19103
-66.501,11.249,-16008
-67.35,11.271,-18060
-64.931,12.721,-17853
-64,7.45,-46962
-64.6,7.45,-46974
-63.13,7,-42998
-63.27,7.2,-44040
-62.7,7.5,-44959
-67.34,9.55,-37978
-67.82,11,-36024
-67.62,11,-36416
-66.24,11.2,-35592
-66.24,11.6,-30850
-69.54,10.6,-40043
-69.64,11.48,-34999
-68.43,-17.83,-59000
-68.11,-17.36,-61000
-68.17,-16.62,-61000
-67.82,-16.3,-54000
-67.54,-15.93,-51000
-68.51,-16.41,-50600
-68.74,-17.28,-66600
-68.17,-17.53,-58400
-67.83,-17.89,-57950
-68.23,-18.1,-57950
-67.6,-18.56,-69700
-70,-19.99,-50300
-69.31,-19.89,-55540
-68.86,-19.34,-73500
-68.86,-19.74,-67600
-68.29,-19.56,-59800
-67.83,-19.18,-58580
-67.83,-19.38,-56680
-67.83,-19.58,-53280
-67.31,-18.83,-63530
-67.31,-19.23,-54130
-66.8,-19.03,-62900
-66.8,-19.43,-67000
-66.34,-19.29,-63300
-66.34,-19.69,-68300
-65.31,-19.11,-57300
-65.31,-19.51,-54500
-64.74,-19.24,-48000
-64.74,-19.64,-43600
-64.29,-19.59,-44700
-63.89,-19.85,-45500
-63.54,-20.05,-44450
-62.51,-19.23,-33400
-60.74,-18.52,-32200
-65.2,-30.9,-34212
-65.7,-32.4,-34100
-66.9,-30.5,-49400
-68,-30.5,-53500
-57.93,-34.91,-31490
-78.5,-0.2,-48163
-71.2,-31,-49229
-69.8,-30.3,-59338
-68.7,-30.2,-70569
-67.75,-30.3,-39609
-66.5,-30.4,-39327
-65.2,-30.9,-47212
-72.3,-35.5,-39762
-70.5,-35.8,-46447
-69.6,-35.8,-50897
-69,-36,-38217
-68.4,-36.2,-23890
-64.07,-29.15,-34609
-64.05,-29.46,-33872
-64.02,-29.75,-34642
-64.41,-30.78,-36265
-64.64,-31.02,-34844
-64.96,-31.14,-35489
-65.22,-31.27,-36419
-64.55,-31.59,-37416
-64.66,-31.91,-37251
-65,-32.15,-36514
-65.71,-32.41,-38091
-66.08,-32.83,-39538
-65.2,-30.9,-33712
-66.25,-28.8,-38488
-67.12,-29.93,-41976
-67.3,-30.2,-42323
-66.54,-30.38,-38304
-66.64,-30.8,-44996
-66.77,-31.19,-48115
-66.24,-31.51,-47082
-67.19,-32.28,-43313
-67.84,-30.16,-53898
-67.74,-30.28,-53122
-67.52,-30.68,-54149
-67.3,-31.06,-51828
-67.88,-31.57,-51928
-69.38,-32.21,-57055
-69.51,-33.59,-45779
-70.29,-33.32,-37779
-70.66,-33.14,-35411
-71.24,-31.03,-31344
-71,-30,-45857
-70.5,-30,-51495
-70,-30,-68000
-69.5,-30,-67791
-69,-30,-58248
-68.5,-30,-57949
-68,-30,-55324
-70.5,-30.5,-51190
-70,-30.5,-67038
-69.5,-30.5,-67714
-69,-30.5,-57714
-68.5,-30.5,-57101
-69.5,-31,-64257
-69,-31,-60355
-68.5,-31,-60116
-68,-31,-55177
-70.5,-31.5,-53190
-70,-31.5,-58266
-69.5,-31.5,-62409
-69,-31.5,-59477
-68.5,-31.5,-54405
-70.5,-32,-48342
-70,-32,-57876
-69.5,-32,-58562
-69,-32,-53781
-68.5,-32,-54451
-69.5,-32.6,-58253
-68.144,-27.424,-56145
-68.09,-27.111,-56190
-69.257,-27.488,-54920
-69.021,-26.54,-52080
-66.944,-27.112,-50800
-67.147,-27.508,-51230
-66.598,-27.641,-48965
-66.37,-27.341,-47245
-69.237,-26.157,-48945
-69.426,-25.367,-42690
-68.098,-27.833,-55685
-68.277,-26.851,-54895
-68.552,-26.906,-54525
-68.666,-26.881,-54025
-68.767,-26.91,-53945
-67.688,-27.051,-56515
-67.774,-27.336,-56480
-67.694,-27.444,-55860
-67.603,-27.48,-55355
-67.613,-27.569,-55090
-67.625,-27.708,-54905
-67.629,-27.901,-54325
-72.62,-51.57,-30250
-70,-52.06,-30950
-72.03,-52.55,-28067
-70.93,-53.61,-30167
-68.71,-54.14,-33490
-70.142,-15.426,-65754
-70.168,-15.379,-66736
-70.2,-15.321,-63730
-70.242,-15.296,-68435
-70.28,-15.26,-69441
-70.33,-15.228,-69738
-70.357,-15.169,-70825
-70.413,-15.046,-66704
-70.404,-14.991,-69385
-70.459,-14.979,-68783
-70.524,-14.942,-71863
-70.562,-14.924,-69979
-70.609,-14.884,-72108
-70.658,-14.832,-72057
-70.726,-14.79,-70431
-70.745,-14.724,-64185
-70.75,-14.649,-67375
-70.788,-14.613,-69898
-70.853,-14.594,-67321
-70.883,-14.538,-60820
-70.94,-14.496,-61724
